No.  Insertion  Selection
647     4.001   2.082
648     4.073   2.057
649     4.071   2.054
650     4.150   2.065
651     4.114   2.078
652     4.155   2.148
653     4.056   2.065
654     4.126   2.085
655     4.120   2.080
656     4.159   2.121
657     4.118   2.094
658     4.137   2.090
659     4.158   2.081
660     4.132   2.114
661     4.156   2.126
662     4.211   2.100
663     4.182   2.133
664     4.243   2.142
665     4.224   2.155
666     4.272   2.173
667     4.200   2.151
668     4.285   2.189
669     4.416   2.198
670     4.332   2.247
671     4.353   2.190
672     4.295   2.211
673     4.282   2.206
674     4.427   2.206
675     4.311   2.215
676     4.356   2.243
677     4.405   2.249
678     4.390   2.219
679     4.370   2.210
680     4.485   2.233
681     4.397   2.243
682     4.395   2.267
683     4.395   2.249
684     4.482   2.292
685     4.467   2.264
686     4.490   2.291
687     4.426   2.266
688     4.484   2.281
689     4.495   2.295
690     4.531   2.296
691     4.536   2.290
692     4.500   2.366
693     4.592   2.466
694     4.719   2.405
695     4.578   2.333
696     4.603   2.346
697     4.584   2.344
698     4.686   2.429
699     4.669   2.373
700     4.922   2.441
701     4.655   2.408
702     4.769   2.420
703     4.715   2.368
704     4.857   2.427
705     4.700   2.411
706     4.836   2.443
707     4.761   2.409
708     4.836   2.431
709     4.756   2.501
710     4.902   2.444
711     4.813   2.467
712     4.883   2.585
713     5.237   2.556
714     4.994   2.486
715     4.886   2.493
716     4.892   2.500
717     4.964   2.498
718     4.939   2.513
719     4.927   2.501
720     4.947   2.519
721     4.967   2.538
722     4.978   2.528
723     4.964   2.533
724     5.008   2.526
725     5.037   2.555
726     4.991   2.564
727     5.030   2.563
728     5.097   2.616
729     5.050   2.581
730     5.165   2.571
731     5.056   2.587
732     5.129   2.607
733     5.095   2.579
734     5.153   2.606
735     5.122   2.628
736     5.143   2.618
737     5.142   2.619
738     5.228   2.637
739     5.167   2.634
740     5.240   2.654
741     5.221   2.667
742     5.266   2.649
743     5.238   2.706
744     5.413   2.676
745     5.279   2.729
746     5.330   2.701
747     5.344   2.734
748     5.359   2.716
749     5.334   2.725
750     5.402   2.717
751     5.412   2.770
752     5.670   2.720
753     5.435   2.745
754     5.381   2.744
755     5.447   2.760
756     5.503   2.767
757     5.421   2.780
758     5.459   2.818
759     5.506   2.793
760     5.494   2.803
761     5.451   2.802
762     5.516   2.825
763     5.521   2.809
764     5.553   2.826
765     5.645   3.493
766     5.678   2.855
767     5.680   2.856
768     5.604   2.834
769     5.631   2.870
770     5.750   2.895
771     5.659   2.859
772     5.695   2.934
773     5.699   2.898
774     5.710   2.968
775     5.733   2.903
776     5.800   2.924
777     5.763   2.941
778     5.832   2.976
779     5.737   2.967
780     5.779   2.940
781     5.809   2.971
782     5.836   2.961
783     5.816   2.982
784     5.874   3.011
785     5.838   3.015
786     5.837   3.018
787     5.941   3.007
788     5.986   3.025
789     5.958   3.042
790     5.957   3.067
791     5.967   3.033
792     5.953   3.025
793     5.973   3.034
794     5.981   3.138
795     5.947   3.073
796     6.012   3.067
797     6.032   3.098
798     6.092   3.099
799     6.073   3.102
800     6.194   3.277
801     6.111   3.107
802     6.191   3.149
803     6.231   3.158
804     6.229   3.194
805     6.209   3.134
806     6.177   3.170
807     6.220   3.168
808     6.255   3.151
809     6.216   3.137
810     6.248   3.168
811     6.236   3.178
812     6.227   3.180
813     6.240   3.189
814     6.315   3.182
815     6.308   3.192
816     6.329   3.204
817     6.318   3.199
818     6.480   3.287
819     6.465   3.312
820     6.409   3.235
821     6.407   3.280
822     6.448   3.279
823     6.393   3.250
824     6.439   3.300
825     6.467   3.269
826     6.470   3.308
827     6.446   3.314
828     6.551   3.326
829     6.558   3.331
830     6.584   3.305
831     6.511   3.400
832     6.589   3.417
833     6.567   3.335
834     6.666   3.437
835     6.685   3.397
836     6.724   3.451
837     6.679   3.454
838     6.689   3.433
839     6.712   3.443
840     6.819   3.427
841     6.853   3.484
842     6.828   3.567
843     6.923   3.534
844     6.966   3.438
845     6.750   3.446
846     6.895   3.627
847     7.093   3.688
848     6.923   3.507
849     7.686   4.332
850     7.550   3.622
851     7.273   4.487
852     8.240   4.113
853     7.124   3.714
854     7.109   3.519
855     6.901   3.680
856     6.938   3.549
857     6.927   3.545
858     6.903   3.548
859     6.961   3.550
860     6.942   3.571
861     7.014   3.520
862     6.983   3.571
863     7.054   3.598
864     7.113   3.611
865     7.011   3.616
866     7.078   3.688
867     7.539   3.608
868     7.199   3.696
869     7.192   3.683
870     7.126   3.684
871     7.210   3.666
872     7.190   3.744
873     7.420   3.630
874     7.175   3.671
875     7.347   3.717
876     7.391   3.825
877     7.320   3.899
878     7.311   3.688
879     7.480   3.670
880     7.329   3.909
881     7.327   3.720
882     7.304   3.745
883     7.441   3.741
884     7.357   3.798
885     7.399   3.845
886     12.718  3.729
887     7.271   416.487
888     7.372   3.769
889     7.298   3.650
890     7.264   3.715
891     7.233   3.729
892     7.288   3.736
893     7.388   3.772
894     7.325   3.765
895     7.347   3.766
896     7.373   3.778
897     7.387   3.797
898     7.431   3.794
899     7.413   3.808
900     7.453   3.833
901     7.485   3.831
902     7.487   3.853
903     7.524   3.856
904     7.553   3.879
905     7.604   3.860
906     7.602   3.903
907     7.615   3.909
908     7.656   3.900
909     7.843   4.024
910     7.737   3.940
911     7.698   3.972
912     7.786   3.953
913     7.786   3.983
914     12.905  5.358
915     7.678   764.927
916     7.568   3.761
917     7.423   3.796
918     7.594   3.905
919     7.708   3.949
920     7.699   3.933
921     7.721   3.966
922     7.754   3.962
923     7.742   3.943
924     7.786   3.954
925     7.760   3.966
926     7.826   4.019
927     7.813   3.994
928     7.969   4.268
929     8.114   4.020
930     7.920   4.057
931     7.978   4.127
932     7.970   4.077
933     8.007   4.098
934     8.048   4.096
935     8.037   4.122
936     8.077   4.130
937     8.208   4.196
938     8.216   4.193
939     8.214   4.207
940     8.279   4.219
941     8.296   4.233
942     13.555  4.213
943     12.961  4.187
944     13.051  4.249
945     8.273   4.592
946     866.412 4.448
947     8.020   4.115
948     8.154   4.394
949     8.328   4.323
950     13.103  4.216
951     13.033  4.194
952     8.240   4.191
953     8.340   4.243
954     8.452   8.955
955     9.742   7.605
956     8.629   4.295
957     8.479   4.304
958     8.761   4.474
959     9.468   4.552
960     9.481   5.173
961     8.765   4.446
962     8.663   4.438
963     8.649   4.415
964     8.604   4.433
965     8.668   4.414
966     8.636   4.469
967     8.655   4.475
968     8.731   4.451
969     8.721   4.467
970     8.788   4.470
971     8.796   4.470
972     8.775   4.518
973     8.929   4.523
974     8.965   4.744
975     9.196   4.773
976     9.262   4.580
977     9.778   5.554
978     9.105   4.508
979     9.083   4.701
980     9.243   4.649
981     10.177  4.844
982     9.269   5.015
983     9.266   4.707
984     9.162   4.664
985     9.203   4.724
986     9.128   4.684
987     9.164   4.682
988     9.185   4.713
989     9.223   4.731
990     9.373   4.736
991     9.218   4.759
992     9.290   4.780
993     9.299   4.998
994     9.399   4.872
995     9.364   4.872
996     9.511   4.843
997     9.482   4.800
998     9.504   4.908
999     9.462   5.244
1000    9.513   4.870
